,buy/sell,time,price,stop loss,ETH_balance,USDT_balance
0,buy,2018-02-02 21:59:59.999,900.0,False,0.1111111111111111,0
1,sell,2018-02-03 05:59:59.999,864.0,True,0.0,96.0
2,buy,2018-02-03 18:59:59.999,979.9,True,0.09796918052862537,0
3,sell,2018-02-03 19:59:59.999,968.0,True,0.0,94.83416675170936
4,buy,2018-02-13 02:59:59.999,865.44,True,0.10957913518176807,0
5,sell,2018-02-13 03:59:59.999,850.7,True,0.0,93.2189702991301
6,buy,2018-02-13 21:59:59.999,843.27,True,0.11054463018858741,0
7,sell,2018-02-15 11:59:59.999,915.02,False,0.0,101.15054751516125
8,buy,2018-02-16 20:59:59.999,931.76,False,0.10855858538160175,0
9,sell,2018-02-18 07:59:59.999,913.05,True,0.0,99.11941638267147
10,buy,2018-02-18 20:59:59.999,938.13,True,0.10565637638991555,0
11,sell,2018-02-18 23:59:59.999,928.74,True,0.0,98.12730300837018
12,buy,2018-02-25 05:59:59.999,832.0,True,0.11794146996198339,0
13,sell,2018-02-25 15:59:59.999,823.64,True,0.0,97.141312319488
14,buy,2018-02-26 19:59:59.999,870.4,True,0.11160536801411765,0
15,sell,2018-02-27 04:59:59.999,861.4,True,0.0,96.13686400736094
16,buy,2018-03-01 17:59:59.999,866.18,True,0.1109894756371204,0
17,sell,2018-03-02 01:59:59.999,870.63,False,0.0,96.63076717394614
18,buy,2018-03-08 15:59:59.999,748.18,False,0.12915443766733425,0
19,sell,2018-03-08 18:59:59.999,718.97,True,0.0,92.8581660496833
20,buy,2018-03-11 09:59:59.999,688.49,True,0.1348722073663863,0
21,sell,2018-03-12 05:59:59.999,716.65,False,0.0,96.65616740912074
22,buy,2018-03-13 09:59:59.999,701.49,False,0.13778694979133094,0
23,sell,2018-03-13 12:59:59.999,684.21,True,0.0,94.27520891672654
24,buy,2018-03-14 07:59:59.999,693.43,True,0.13595490376350394,0
25,sell,2018-03-14 11:59:59.999,675.03,True,0.0,91.77363868747807
26,buy,2018-03-15 18:59:59.999,598.42,True,0.15335991224804998,0
27,sell,2018-03-15 19:59:59.999,601.28,False,0.0,92.21224803650749
28,buy,2018-03-16 15:59:59.999,612.98,False,0.15043271890845947,0
29,sell,2018-03-17 01:59:59.999,599.05,True,0.0,90.11672026211264
30,buy,2018-03-19 21:59:59.999,536.43,True,0.1679934385886558,0
31,sell,2018-03-20 09:59:59.999,527.07,True,0.0,88.54430167692283
32,buy,2018-03-22 06:59:59.999,570.0,True,0.15534088013495234,0
33,sell,2018-03-22 09:59:59.999,563.01,True,0.0,87.45846892477951
34,buy,2018-03-22 09:59:59.999,563.01,True,0.15534088013495234,0
35,sell,2018-03-22 11:59:59.999,547.98,True,0.0,85.12369549635119
36,buy,2018-03-23 19:59:59.999,525.8,True,0.16189367724676912,0
37,sell,2018-03-24 20:59:59.999,536.1,False,0.0,86.79120037199293
38,buy,2018-03-25 19:59:59.999,522.18,False,0.16620935380901783,0
39,sell,2018-03-26 01:59:59.999,524.23,False,0.0,87.13192954730143
40,buy,2018-03-30 10:59:59.999,405.64,False,0.2148011279639617,0
41,sell,2018-03-30 11:59:59.999,398.19,True,0.0,85.53166114396991
42,buy,2018-03-31 02:59:59.999,392.43,True,0.21795393100417887,0
43,sell,2018-03-31 11:59:59.999,394.43,False,0.0,85.96756900597828
44,buy,2018-03-31 20:59:59.999,404.21,False,0.2126804606664315,0
45,sell,2018-03-31 21:59:59.999,399.0,True,0.0,84.85950380590617
46,buy,2018-04-02 03:59:59.999,383.56,True,0.22124179738738703,0
47,sell,2018-04-02 04:59:59.999,379.72,True,0.0,84.0099353039386
48,buy,2018-04-05 10:59:59.999,379.25,True,0.2215159797071552,0
49,sell,2018-04-05 14:59:59.999,379.76,False,0.0,84.12290845358926
50,buy,2018-04-06 07:59:59.999,378.44,False,0.22228862819360867,0
51,sell,2018-04-06 09:59:59.999,368.3,True,0.0,81.86890176370608
52,buy,2018-04-08 02:59:59.999,384.51,True,0.2129174839762453,0
53,sell,2018-04-08 08:59:59.999,388.66,False,0.0,82.7525093222075
54,buy,2018-04-08 20:59:59.999,396.9,False,0.20849712603226886,0
55,sell,2018-04-09 16:59:59.999,392.88,True,0.0,81.91435087555779
56,buy,2018-04-10 10:59:59.999,396.09,True,0.20680741971662447,0
57,sell,2018-04-11 13:59:59.999,412.67,False,0.0,85.34321789445943
58,buy,2018-04-17 09:59:59.999,507.77,False,0.16807455717048947,0
59,sell,2018-04-18 02:59:59.999,502.56,True,0.0,84.46754945160119
60,buy,2018-04-18 07:59:59.999,506.45,True,0.16678359058466025,0
61,sell,2018-04-21 19:59:59.999,600.42,False,0.0,100.1402034588417
62,buy,2018-04-21 23:59:59.999,605.01,False,0.16551826161359598,0
63,sell,2018-04-22 03:59:59.999,594.9,True,0.0,98.46681383392824
64,buy,2018-04-23 12:59:59.999,637.5,True,0.15445774719047567,0
65,sell,2018-04-25 05:59:59.999,692.09,False,0.0,106.89866225305632
66,buy,2018-04-25 22:59:59.999,628.46,False,0.1700962070029219,0
