,Currency Pair,Time Interval,Start Price,End Price,Start balance,End Balance
0,ETHUSDT,30m,1136.0,599.67,100,84.67193895646858
1,XRPUSDT,15m,0.90391,0.66219,100,85.97351246444073
2,BTCUSDT,1m,10250.55,7550.22,100,80.87943636603417
3,ETHUSDT,1m,1132.0,598.26,100,133.58526249933578
4,ADAUSDT,1h,0.25,0.20402,100,104.0303545166834
5,ADAUSDT,15m,0.25797,0.20519,100,99.2639407316116
6,LTCUSDT,30m,135.06,121.26,100,82.8357874319216
7,ADAUSDT,2h,0.27396,0.22701999999999997,100,83.31294387017834
8,BTCUSDT,5m,9889.13,7634.63,100,61.992202867025384
9,ETHUSDT,5m,1140.48,598.1,100,85.0790876975246
10,LTCUSDT,1h,135.06,116.91,100,129.09463305914187
11,XRPUSDT,1h,0.6675399999999999,0.67027,100,94.90379251139638
12,XRPUSDT,2h,0.67775,0.65999,100,105.76089810484095
13,LTCUSDT,2h,125.99,123.2,100,114.8439112661238
14,BTCUSDT,30m,9341.4,7578.76,100,68.33514898356103
15,LTCUSDT,1m,165.79,122.22,100,69.17133147914096
16,XRPUSDT,30m,0.8972600000000001,0.66602,100,89.13490875107368
17,ETHUSDT,15m,1149.0,597.69,100,64.64556383230808
18,XRPUSDT,1m,0.9026200000000001,0.67325,100,69.48180551053633
19,LTCUSDT,5m,157.66,121.87,100,94.3552916631123
20,XRPUSDT,5m,0.9051299999999999,0.68156,100,73.30982424632323
21,ADAUSDT,30m,0.26816999999999996,0.21715,100,115.66797245212372
22,LTCUSDT,15m,145.19,121.19,100,99.33835022349562
23,BTCUSDT,1h,8699.72,7578.76,100,98.21018396128422
24,ETHUSDT,1h,900.0,596.11,100,107.38098487541042
25,ADAUSDT,1m,0.26984,0.21286999999999998,100,59.67429142473643
26,ETHUSDT,2h,748.35,596.98,100,143.41084019921462
27,BTCUSDT,15m,8464.75,7602.99,100,78.69842377259266
28,BTCUSDT,2h,7420.01,7703.99,100,144.32879553288373
29,ADAUSDT,5m,0.25816999999999996,0.21775,100,91.991932058795
